#_overview,1. Overview
#_properties_and_guiding_ideas,1.1. Properties and Guiding Ideas
#_acknowledgements,1.2. Acknowledgements
#_fmi_common_concepts_for_model_exchange_and_co_simulation,2. FMI Common Concepts for Model Exchange and Co-Simulation
#_fmi_application_programming_interface,2.1. FMI Application Programming Interface
#_header_files_and_naming_of_functions,2.1.1. Header Files and Naming of Functions
#_platform_dependent_definitions_fmi2typesplatform_h,2.1.2. Platform Dependent Definitions (fmi2TypesPlatform.h)
#_status_returned_by_functions,2.1.3. Status Returned by Functions
#_inquire_platform_and_version_number_of_header_files,2.1.4. Inquire Platform and Version Number of Header Files
#_creation_destruction_and_logging_of_fmu_instances,2.1.5. Creation Destruction and Logging of FMU Instances
#_initialization_termination_and_resetting_an_fmu,2.1.6. Initialization Termination and Resetting an FMU
#_getting_and_setting_variable_values,2.1.7. Getting and Setting Variable Values
#GetSetCompleteFMUState,2.1.8. Getting and Setting the Complete FMU State
#_getting_partial_derivatives,2.1.9. Getting Partial Derivatives
#_fmi_description_schema,2.2. FMI Description Schema
#_definition_of_an_fmu_fmimodeldescription,2.2.1. Definition of an FMU (fmiModelDescription)
#_definition_of_units_unitdefinitions,2.2.2. Definition of Units (UnitDefinitions)
#_definition_of_types_typedefinitions,2.2.3. Definition of Types (TypeDefinitions)
#_definition_of_log_categories_logcategories,2.2.4. Definition of Log Categories (LogCategories)
#_definition_of_a_default_experiment_defaultexperiment,2.2.5. Definition of a Default Experiment (DefaultExperiment)
#_definition_of_vendor_annotations_vendorannotations,2.2.6. Definition of Vendor Annotations (VendorAnnotations)
#_definition_of_model_variables_modelvariables,2.2.7. Definition of Model Variables (ModelVariables)
#_definition_of_the_model_structure_modelstructure,2.2.8. Definition of the Model Structure (ModelStructure)
#_variable_naming_conventions_variablenamingconvention,2.2.9. Variable Naming Conventions (variableNamingConvention)
#_fmu_distribution,2.3. FMU Distribution
#_fmi_for_model_exchange,3. FMI for Model Exchange
#_mathematical_description,3.1. Mathematical description
#_fmi_application_programming_interface_2,3.2. FMI Application Programming Interface
#_providing_independent_variables_and_re_initialization_of_caching,3.2.1. Providing Independent Variables and Re-initialization of Caching
#_evaluation_of_model_equations,3.2.2. Evaluation of Model Equations
#_state_machine_of_calling_sequence,3.2.3. State Machine of Calling Sequence
#_pseudocode_example,3.2.4. Pseudocode Example
#_fmi_description_schema_2,3.3. FMI Description Schema
#_model_exchange_fmu_modelexchange,3.3.1. Model Exchange FMU (ModelExchange)
#_example_xml_description_file,3.3.2. Example XML Description File
#_fmi_for_cosimulation,4. FMI for Co‑Simulation
#_mathematical_description_2,4.1. Mathematical Description
#_basics,4.1.1. Basics
#_mathematical_model,4.1.2. Mathematical Model
#_fmi_application_programming_interface_3,4.2. FMI Application Programming Interface
#_transfer_of_input_output_values_and_parameters,4.2.1. Transfer of Input / Output Values and Parameters
#_computation,4.2.2. Computation
#_retrieving_status_information_from_the_slave,4.2.3. Retrieving Status Information from the Slave
#_state_machine_of_calling_sequence_from_master_to_slave,4.2.4. State Machine of Calling Sequence from Master to Slave
#_pseudocode_example_2,4.2.5. Pseudocode Example
#_fmi_description_schema_3,4.3. FMI Description Schema
#_co_simulation_fmu_cosimulation,4.3.1. Co-Simulation FMU (CoSimulation)
#_example_xml_description_file_2,4.3.2. Example XML Description File
#_literature,5. Literature
#_fmi_revision_history,Appendix A: FMI Revision History
#_a_1_version_1_0_fmi_for_model_exchange,A.1 Version 1.0 – FMI for Model Exchange
#_a_2_version_1_0_fmi_for_co_simulation,A.2 Version 1.0 – FMI for Co-Simulation
#_a_3_version_2_0_fmi_for_model_exchange_and_co_simulation,A.3 Version 2.0 – FMI for Model Exchange and Co-Simulation
#_a_3_1_overview,A.3.1 Overview
#_a_3_2_main_changes,A.3.2 Main changes
#_a_3_3_contributors,A.3.3 Contributors
#_a_3_4_fmi_2_0_1_maintenane_release_changes_and_contributors,A.3.4 FMI 2.0.1 maintenane release: changes and contributors
#_a_3_5fmi_2_0_2_maintenance_release_changes_and_contributors,A.3.5 FMI 2.0.2 maintenance release: changes and contributors
#_a_3_6fmi_2_0_3_maintenance_release_changes_and_contributors,A.3.6 FMI 2.0.3 maintenance release: changes and contributors
#_a_3_7fmi_2_0_4_maintenance_release_changes_and_contributors,A.3.7 FMI 2.0.4 maintenance release: changes and contributors
#_glossary,Appendix B: Glossary
